path,trans,duration,note
voice/3990743000_mypage1,露莉亚，这座城市有什么样的美食，一起去看看吧,5,姬塔
voice/3990743000_mypage2,拉卡姆，有什么我可以帮忙的吗？没问题的！我可是干劲满满的！,6,
voice/3990743000_mypage3,卡塔莉娜，要一起去万事屋接新任务吗？,4,
voice/3990743000_mypage4,想让欧根教我各种各样的事情呢。,3,
voice/3990743000_mypage5,伊欧，陪我练习魔法嘛！,3,
voice/3990743000_mypage6,呵呵，萝赛塔和尤格多拉希尔关系真好啊。,4,
voice/3990743000_mypage7,说起来，碧到底是什么呢……？……是龙？,4,
voice/3990743000_mypage8,父亲，会在哪里呢……？,2,
voice/3990741000_mypage1,露莉亚，一起去看看这片天空的尽头究竟有什么吧！,5,古兰
voice/3990741000_mypage2,拉卡姆，能教教我怎么保养枪支吗？,3,
voice/3990741000_mypage3,卡塔莉娜约我去试吃她做的料理……没问题吧……？,3,
voice/3990741000_mypage4,不知道欧根在像我这么大的时候经历过怎样的旅行呢……？,4,
voice/3990741000_mypage5,伊欧，可以教我魔法吗？……能让人露出笑容的魔法。,5,
voice/3990741000_mypage6,萝赛塔好像知道一些有关露莉亚的秘密……,3,
voice/3990741000_mypage7,我买了苹果回来，碧。不过和赞克汀泽的品种不太一样呢……,5,
voice/3990741000_mypage8,天空的尽头……约定之地……我绝对会追上你的，父亲。,6,
voice/3040150000_mypage1,用枪进行远距离火力压制……进行无从抵抗的压倒性攻击……团长，只要你原意，我会随时为你蹂躏世界的敌人，蹂躏你的敌人。,17,铳佐
voice/3040150000_mypage2,小龙的数量变多了？嗯，其实，如果我的魔力变强，龙的数量就会自然增加呢。呵呵，要给它们取什么名字呢，一起来想吧。,16,
voice/3040150000_mypage3,能化为人形，真的太好了。感谢你告诉我人类的喜悦。今后也一起前进吧。,15,
voice/3040153000_mypage1,我和你们只是因为利害一致而暂时共同行动罢了。就让我们在必要时刻并肩作战吧。,9,圣德芬
voice/3040153000_mypage2,特异点……我们曾经还是敌人……呵，所谓命运，真是不可思议。,10,
voice/3040153000_mypage3,为什么我喜欢咖啡？……毕竟我第一次喝咖啡已经是两千年以前了。……那种久远的事情，我早就忘了。,15,
voice/3040153000_s1_halloween_mypage1,万圣节快乐……只是随口说说而已。,3,圣德芬
voice/3040153000_s1_halloween_mypage2,不给糖果就捣蛋……我才没有觉得很欢快。,4,
voice/3040153000_s1_halloween_mypage3,两千年间我都是一个人，对于孤独，早就已经习惯了。,7,
voice/3040153000_s1_valentine_mypage1,情人节快乐。偶尔吃点甜食也不错啊。,4,情人节
voice/3040153000_s1_valentine_mypage2,谢谢你的礼物。什么啊，就算是我也是会道谢的。,5,
voice/3040121000_mypage1,手下留情真是很难做到啊~……。我还是觉得，全部一起砰地炸飞最好了☆,7,光佐仓
voice/3040121000_mypage3,父亲大人，母亲大人，不管你们怎么说，我都不会放弃这个想法的！,6,
voice/3040121000_mypage5,这件衣服，真是非常合身啊~我要是也能做到炼出这样的衣服就好了……,7,
voice/3040013000_mypage1,艾鲁斯特是个小国……不过是个很好的国家。,5,终突前
voice/3040013000_mypage2,看来我跟你们这样的好人很有缘分啊。,5,
voice/3040013000_mypage3,我一定要把祖国的复兴这事，告诉那个人。,4,
voice/3040013000_03_mypage1,小时候我曾经幻想过如果自己和亲人不是王族的话会怎样。\n不过完全没想到实际会变成那样。,11,终突后
voice/3040013000_03_mypage2,你问我母亲不在身边会不会寂寞，啊。\n……不寂寞呢。我身边有诺伊修和姐姐啊。\n意外的是，一开始就不在的话就不怎么会在意呢。,16,
voice/3040013000_03_mypage3,不管是葛姆·古拉斯还是蒂亚多拉大人的仪式，继承我的人们一定会需要它们的。为了那些人，不应该只靠口口相传，而应该制作资料保留下去啊。,15,
voice/3710017000_mypage1,来，姬塔。我们去夜晚的街上玩吧。唯有今晚要对姐姐大人和诺伊修，还有大家保密。,11,礼服皮
voice/3710017000_mypage2a,如果晚上你要出去玩的话，就由我来担当一夜的骑士吧。我们的团长如果出了什么事会让人很困扰的。,9,
voice/3710017000_mypage3,之前我说要去邻国视察游乐设施，然后姐姐大人就很高兴地准备起这套衣服了。我绝对不是去玩的啊……,11,
voice/3040013000_Valentine1,情人节快乐！,1,情人节
voice/3040013000_Valentine2,送给我巧克力？谢谢你的费心。,6,
voice/3040187000_mypage1,我从小就被身为猎人的父亲灌输了狙击的技巧。\n他跟我一起窝在山里好几天，教导我消除气息的方法还有判断气候的方法等技巧。\n虽然他很严格，但是托他的福才有现在的我。,17,光银
voice/3040187000_mypage2,哈——喝着热茶整个人就会放松下来，安下心呢。跟库库鲁、库姆优，还有你在一起的话，会更放松。,14，,
voice/3040187000_mypage3,我有时候会给重逢的双亲写信，他们好像很期待我写的旅行的记录。\n有几次我还在信里写了你的事……他们说你那么年轻还那么坚强，非常佩服。,18,
voice/3040031000_mypage1,呵呵，我的眼睛很厉害吧。\n……不过，没法看见跟大家一样的景色，还是有点……寂寞。,11,终突前
voice/3040031000_mypage2,咦？露莉亚去哪了？我找到一家看起来挺好吃的蛋糕店，想找她一起去……,7,
voice/3040031000_mypage3,呐，姬塔，我喜欢露玛茜群岛的景色。下个目的地选那儿怎么样？呵呵。,8,
voice/3040031000_03_mypage1,我……一直在思考，普通到底是什么……\n村子的普通……城市的普通……如果有什么违反了的话，是不是就没有容身之处了……\n不过，十天众和姬塔的骑空团接受了我的一切，我很高兴。,27,终突后
voice/3040031000_03_mypage2,席尔瓦说我的眼睛很厉害。因为平常跟人提起岛的另一端的人的事情的时候，别人经常会觉得很不愉快，所以我很惊讶她这么说。,12,
voice/3040031000_03_mypage3,因为多管闲事伤害了别人这种事情……不管过了多少年都忘不了呢。,6,
voice/3710072000_mypage1,真开心……谢谢你带我来海边，姬塔。,5,泳装皮
voice/3710072000_mypage2,这个泳装啊，是为了突出十天众的感觉，才选了白色的。不过我曾经犹豫过要不要选黑的……呵呵，好看吗？,10,
voice/3710072000_mypage3,如果有一天……可以和十天众的大家一起来度假就好了……,5,
voice/3040155000_mypage4,已确认团长以及格兰赛法其他成员的安全。由我来保护大家。,8,萝伯美
voice/3040155000_mypage2,这是士郎尚不成熟但付出了心血的技术结晶。这台机体是我的宝物。,8,
voice/3040155000_mypage3,如果，还能和贤治说话……,5,
voice/3030079000_Valentine1,情人节，快乐！,2,情人节
voice/3030079000_Valentine2,姬塔，我已成功购入了情人节用的巧克力。,5,
voice/3030079000_Valentine3,请求摄取情人节巧克力，请吃。,5,
voice/3040178000_mypage1,姬塔阁下，露莉亚阁下，碧君。我理解你们因为休假所以感觉整个人被解放的心情。但是还请注意不要玩得太过，吃得太多，避免之后身体出问题。,12,泳诺
voice/3040178000_mypage2,姬塔阁下，请问有什么事？……啊，我是不准备下水的。这样万一有什么事的话能立刻对应……呜哇！……不要泼我水啊！,16,
voice/3040178000_mypage3,斯卡哈，你不能太小看水。确实，真龙会溺水是很难想象的事，但现在只是临时的容器啊。……啊啊，等下！不要连准备活动都不做就跳进水里啊！,14,
